title,link,authors,publication,description,Year,language,flag,what to do,,
"Toward leukocyte recognition using morphometry, texture and color",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:5Ul4iDaHHb8C,"DMU Sabino, LF Costa, EG Rizzatti, MA Zago","2004 2nd IEEE International Symposium on Biomedical Imaging: Nano to Macro …, 2004","Although blood cell morphological analysis has been progressively replaced by new technologies, it is often possible and necessary to diagnose some types of leukemia by visual inspection. In order to automate this process, pattern recognition methods are used in the present work for computer-aided diagnosis, considering a variety of morphometric features, expressing size and shape, color and texture, which are combined in order to achieve more accurate results. The large number of measurements implies selection methods to be applied to the identification of the most discriminative subset. This paper describes 62 cell morphological attributes extracted, selected and analyzed using a system under development. We validate our results by using the Weka (Waikato environment knowledge analysis) machine learning algorithms. The obtained results illustrate the importance of feature selection for improving the …",2004,en,,,,
A convolutional neural network-based screening tool for X-ray serial crystallography,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:YFjsv_pBGBYC,"TW Ke, AS Brewster, SX Yu, D Ushizima, C Yang, NK Sauter","Journal of synchrotron radiation 25 (3), 655-670, 2018","A new tool is introduced for screening macromolecular X-ray crystallography diffraction images produced at an X-ray free-electron laser light source. Based on a data-driven deep learning approach, the proposed tool executes a convolutional neural network to detect Bragg spots. Automatic image processing algorithms described can enable the classification of large data sets, acquired under realistic conditions consisting of noisy data with experimental artifacts. Outcomes are compared for different data regimes, including samples from multiple instruments and differing amounts of training data for neural network optimization.",2018,en,,,,
Statistical segmentation and porosity quantification of 3d x-ray microtomography,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:hqOjcs7Dif8C,"D Ushizima, D Parkinson, P Nico, J Ajo-Franklin, A MacDowell, B Kocar, ...","Applications of Digital Image Processing XXXIV 8135, 11-24, 2011","High-resolution x-ray micro-tomography is used for imaging of solid materials at micrometer scale in 3D. Our goal is to implement nondestructive techniques to quantify properties in the interior of solid objects, including information on their 3D geometries, which supports modeling of the fluid dynamics into the pore space of the host object. The micro-tomography data acquisition process generates large data sets that are often difficult to handle with adequate performance when using current standard computing and image processing algorithms. We propose an efficient set of algorithms to filter, segment and extract features from stacks of image slices of porous media. The first step tunes scale parameters to the filtering algorithm, then it reduces artifacts using a fast anisotropic filter applied to the image stack, which smoothes homogeneous regions while preserving borders. Next, the volume is partitioned using …",2011,en,,,,
Target detection in SAR images based on a level set approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:ZeXyd9-uunAC,"RCP Marques, FNS De Medeiros, DM Ushizima","IEEE Transactions on Systems, Man, and Cybernetics, Part C (Applications and …, 2009","This paper introduces a new framework for point target detection in synthetic aperture radar (SAR) images. We focus on the task of locating reflective small regions using a level-set-based algorithm. Unlike most of the approaches in image segmentation, we address an algorithm that incorporates speckle statistics instead of empirical parameters and also discards speckle filtering. The curve evolves according to speckle statistics, initially propagating with a maximum upward velocity in homogeneous areas. Our approach is validated by a series of tests on synthetic and real SAR images and compared with three other segmentation algorithms, demonstrating that it configures a novel and efficient method for target-detection purpose.",2009,en,,,,
Multiresolution 3D-DenseNet for chemical shift prediction in NMR crystallography,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:HoB7MX3m0LUC,"S Liu, J Li, KC Bennett, B Ganoe, T Stauch, M Head-Gordon, A Hexemer, ...","The journal of physical chemistry letters 10 (16), 4558-4565, 2019","We have developed a deep learning algorithm for chemical shift prediction for atoms in molecular crystals that utilizes an atom-centered Gaussian density model for the 3D data representation of a molecule. We define multiple channels that describe different spatial resolutions for each atom type that utilizes cropping, pooling, and concatenation to create a multiresolution 3D-DenseNet architecture (MR-3D-DenseNet). Because the training and testing time scale linearly with the number of samples, the MR-3D-DenseNet can exploit data augmentation that takes into account the property of rotational invariance of the chemical shifts, thereby also increasing the size of the training data set by an order of magnitude without additional cost. We obtain very good agreement for 13C, 15N, and 17O chemical shifts when compared to ab initio quantum chemistry methods, with the highest accuracy found for 1H chemical shifts …",2019,en,,,,
"Ideal: Images across domains, experiments, algorithms and learning",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:qjMakFHDy7sC,"DM Ushizima, HA Bale, E Bethel, P Ercius, BA Helms, H Krishnan, ...","Jom 68 (11), 2963-2972, 2016"," Research across science domains is increasingly reliant on image-centric data. Software tools are in high demand to uncover relevant, but hidden, information in digital images, such as those coming from faster next generation high-throughput imaging platforms. The challenge is to analyze the data torrent generated by the advanced instruments efficiently, and provide insights such as measurements for decision-making. In this paper, we overview work performed by an interdisciplinary team of computational and materials scientists, aimed at designing software applications and coordinating research efforts connecting (1) emerging algorithms for dealing with large and complex datasets; (2) data analysis methods with emphasis in pattern recognition and machine learning; and (3) advances in evolving computer architectures. Engineering tools around these efforts accelerate the analyses of image-based …",2016,en,,,,
Portable learning environments for hands-on computational instruction: Using container-and cloud-based technology to teach data science,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:K3LRdlH-MEoC,"C Holdgraf, A Culich, A Rokem, F Deniz, M Alegro, D Ushizima","Proceedings of the Practice and Experience in Advanced Research Computing …, 2017","There is an increasing interest in learning outside of the traditional classroom setting. This is especially true for topics covering computational tools and data science, as both are challenging to incorporate in the standard curriculum. These atypical learning environments offer new opportunities for teaching, particularly when it comes to combining conceptual knowledge with hands-on experience/expertise with methods and skills. Advances in cloud computing and containerized environments provide an attractive opportunity to improve the efficiency and ease with which students can learn. This manuscript details recent advances towards using commonly-available cloud computing services and advanced cyberinfrastructure support for improving the learning experience in bootcamp-style events. We cover the benefits (and challenges) of using a server hosted remotely instead of relying on student laptops, discuss …",2017,en,,,,
Scanning electron microscopy image representativeness: morphological data on nanoparticles,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:aqlVkmm33-oC,"K Odziomek, D Ushizima, P Oberbek, KJ Kurzydłowski, T Puzyn, ...","Journal of microscopy 265 (1), 34-50, 2017"," A sample of a nanomaterial contains a distribution of nanoparticles of various shapes and/or sizes. A scanning electron microscopy image of such a sample often captures only a fragment of the morphological variety present in the sample. In order to quantitatively analyse the sample using scanning electron microscope digital images, and, in particular, to derive numerical representations of the sample morphology, image content has to be assessed. In this work, we present a framework for extracting morphological information contained in scanning electron microscopy images using computer vision algorithms, and for converting them into numerical particle descriptors. We explore the concept of image representativeness and provide a set of protocols for selecting optimal scanning electron microscopy images as well as determining the smallest representative image set for each of the morphological features. We …",2017,en,,,,
Multimodal whole brain registration: MRI and high resolution histology,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:_FxGoFyzp5QC,"M Alegro, E Amaro-Jr, B Loring, H Heinsen, E Alho, L Zollei, D Ushizima, ...","Proceedings of the IEEE conference on computer vision and pattern …, 2016","Three-dimensional brain imaging through cutting-edge MRI technology allows assessment of physical and chemical tissue properties at sub-millimeter resolution. In order to improve brain understanding as part of diagnostic tasks using MRI images, other imaging modalities to obtain deep cerebral structures and cytoarchitectural boundaries have been investigated. Under availability of postmortem samples, the fusion of MRI to brain histology supports more accurate description of neuroanatomical structures since it preserves microscopic entities and reveal fine anatomical details, unavailable otherwise. Nonetheless, histological processing causes severe tissue deformation and loss of the brain original 3D conformation, preventing direct comparisons between MRI and histology. This paper proposes an interactive computational pipeline designed to register multimodal brain data and enable direct histology-MRI correlation. Our main contribution is to develop schemes for brain data fusion, distortion corrections, using appropriate diffeomorphic mappings to align the 3D histological and MRI volumes. We describe our pipeline and preliminary developments of scalable processing schemes for high-resolution images. Tests consider a postmortem human brain, and include qualitatively and quantitatively results, such as 3D visualizations and the Dice coefficient (DC) between brain structures. Preliminary results show promising DC values when comparing our scheme results to manually labeled neuroanatomical regions defined by a neurosurgeon on MRI and histology data sets. DC was computed for the left caudade gyrus (LC), right hippocampus …",2016,en,,,,
Camera: The center for advanced mathematics for energy research applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:hC7cP41nSMkC,"J Donatelli, M Haranczyk, A Hexemer, H Krishnan, X Li, L Lin, F Maia, ...","Synchrotron Radiation News 28 (2), 4-9, 2015","Advanced experimental facilities worldwide are probing structure and chemistry, disorder, dynamics and electronic properties, through time, over length scales spanning macroscopic to atomic resolution, in multiple dimensions (e.g., hyperspectral tomography, nano-spectroscopy), under extreme environmental conditions and stimulated reactions. In order to do so, they are collecting more and more data at faster and faster rates. One critical challenge is to build algorithms that can analyze, interpret, and understand the information contained within this experimental data.",2015,en,,,,
Ammonia gas sensor based on the frequency-dependent impedance characteristics of ultrathin polyaniline films,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:e5wmG9Sq2KIC,"MC Santos, AGC Bianchi, DM Ushizima, FJ Pavinatto, RF Bianchi","Sensors and Actuators A: Physical 253, 156-164, 2017","This paper describes a variety of experiments that reveal the potential application of impedance spectroscopy (IS) measurements to enhance performance of ultrathin polyaniline (PANI)-based films on flexible substrate to control ammonia gas exposure in the 0–20 ppm range. Further, the device is mechanically robust for making electrical contact without lithography. We have employed the IS technique to proper adjust the optimal operation frequency of an easy-to-process, inexpensive and user-friendly PANI-based resistometric detectors in which drift current and delay problems related to electrode effects and dielectric absorption of PANI are insignificant. These requirements place emphasis upon the material and device configuration, and the range of frequencies from 10 to 100 Hz corresponds to the ideal working region to operate the device to unify sensibility inside 5%, reproducibility, linearity, stability and low …",2017,en,,,,
Convolutional neural networks for grazing incidence x-ray scattering patterns: thin film structure identification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:M05iB0D1s5AC,"S Liu, CN Melton, S Venkatakrishnan, RJ Pandolfi, G Freychet, D Kumar, ...","MRS Communications 9 (2), 586-592, 2019","Nano-structured thin films have a variety of applications from waveguides, gaseous sensors to piezoelectric devices. Grazing Incidence Small Angle x-ray Scattering images enable classification of such materials. One challenge is to determine structure information from scattering patterns alone. This paper highlights the design of multiple Convolutional Neural Networks (CNN) to classify nanoparticle orientation in a thin film by learning scattering patterns. The network was trained on several thin films with a success rate of 94%. We demonstrate CNN robustness under different noises as well as demonstrate the potential of our proposed approach as a strategy to decrease scattering pattern analysis time.",2019,en,,,,
Automating cell detection and classification in human brain fluorescent microscopy images using dictionary learning and sparse coding,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:8k81kl-MbHgC,"M Alegro, P Theofilas, A Nguy, PA Castruita, W Seeley, H Heinsen, ...","Journal of neuroscience methods 282, 20-33, 2017","BackgroundImmunofluorescence (IF) plays a major role in quantifying protein expression in situ and understanding cell function. It is widely applied in assessing disease mechanisms and in drug discovery research. Automation of IF analysis can transform studies using experimental cell models. However, IF analysis of postmortem human tissue relies mostly on manual interaction, often subjected to low-throughput and prone to error, leading to low inter and intra-observer reproducibility. Human postmortem brain samples challenges neuroscientists because of the high level of autofluorescence caused by accumulation of lipofuscin pigment during aging, hindering systematic analyses. We propose a method for automating cell counting and classification in IF microscopy of human postmortem brains. Our algorithm speeds up the quantification task while improving reproducibility.New methodDictionary learning and …",2017,en,,,,
Cell reconstruction under voronoi and enclosing ellipses from 3d microscopy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:5nxA0vEk-isC,"GLB Ramalho, DS Ferreira, AGC Bianchi, CM Carneiro, FN Medeiros, ...","IEEE International Symposium on Biomedical Imaging (ISBI), 2015","Cell occlusion, staining variation, particulate forms and diversity of cervical cells are some of the challenges in automating cervical cytology. This paper tackles some of these issues, including the detection of nucleus and cytoplasm from a new standardization for specimen preparation through mono/thin-layer technology. Our approach consists of three main steps:(a) rough segmentation of subcellular compartments using super pixel combined to Voronoi diagrams,(b) structural refinement of the cytoplasm boundary through calculus of variations, and (c) morphological reconstruction combined to optimization methods to determine minimum enclosing ellipse. We test our implementation on real 3D cervical cell images, containing several cells at different occlusion levels and variable contrast. Our results show both qualitative and quantitative assessment of the datasets, using a completely automated computer program. The quantitative performance presents average Dice Coefficient higher than 87%.",2015,en,,,,
Gaussian processes for autonomous data acquisition at large-scale synchrotron and neutron facilities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:t6usbXjVLHcC,"MM Noack, PH Zwart, DM Ushizima, M Fukuto, KG Yager, KC Elbert, ...","Nature Reviews Physics 3 (10), 685-697, 2021","The execution and analysis of complex experiments are challenged by the vast dimensionality of the underlying parameter spaces. Although an increase in data-acquisition rates should allow broader querying of the parameter space, the complexity of experiments and the subtle dependence of the model function on input parameters remains daunting owing to the sheer number of variables. New strategies for autonomous data acquisition are being developed, with one promising direction being the use of Gaussian process regression (GPR). GPR is a quick, non-parametric and robust approximation and uncertainty quantification method that can be applied directly to autonomous data acquisition. We review GPR-driven autonomous experimentation and illustrate its functionality using real-world examples from large experimental facilities in the USA and France. We introduce the basics of a GPR-driven …",2021,en,,,,
Block copolymer packing limits and interfacial reconfigurability in the assembly of periodic mesoporous organosilicas,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:bEWYMUwI8FkC,"AW Wills, DJ Michalak, P Ercius, ER Rosenberg, T Perciano, D Ushizima, ...","Advanced Functional Materials 25 (26), 4120-4128, 2015","Here poly(N,N‐dimethylacrylamide)‐block‐poly(styrene) block copolymer micelles (BCPs) are advanced and applied to assemble periodic mesoporous organosilicas (PMOs) with noncylindrical pores. Using these BCP micelles, it is found that pore dimensions (11–23 nm), wall thicknesses (5–9 nm), and overall porosities (26%–78%) are independently programable, depending only on relative inputs for BCP and matrix former. Notably, the degree of order in all films improves as BCP loading approaches a packing limit of 63 vol%. Beyond this limit and regardless of pore dimensions, both porogen packing in the film and pore structure after thermal processing show significant deviations away from spherical close‐packed lattices. The surprising absence of film collapse in this regime allows here to quantify the evolution of pore structure through the thermally driven interfacial reconfigurability of BCP micelles in the …",2015,en,,,,
Automatic leukemia diagnosis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:BrmTIyaxlBUC,"DMU Sabino, LF Costa, SLR Martins, RT Calado, MA Zago","Acta Microscopica 12 (1), 1-6, 2003","Despite the great demand for blood smear analysis in Brazil and worldwide, relatively few efforts have been directed to the automation of this important problem. This paper presents a prototype of a semi-automatic leukemia diagnosis program. emphasizing basic stops in pattern recognition as segmentation, filtering, and feature extraction. A supervised learning process segments blood smear images into four regions of interest: nucleus, cytoplasm, erythrocytes and plasma according to their color. Then, the measurements are performed, both general such as perimeter, area, factor for, circularity as well as innovative measures as curvature, skeletons, and multiscale fractal dimensión, which can provide more objective subsidy for diagnosis.",2003,en,,,,
Investigating pill recognition methods for a new national library of medicine image dataset,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:maZDTaKrznsC,"D Ushizima, A Carneiro, M Souza, F Medeiros","International Symposium on Visual Computing, 410-419, 2015"," With the increasing access to pharmaceuticals, chances are that medication administration errors will occur more frequently. On average, individuals above age 65 take at least 14 prescriptions per year. Unfortunately, adverse drug reactions and noncompliance are responsible for 28 % of hospitalizations of the elderly. Correctly identifying pills has become a critical task in patient care and safety. Using the recently released National Library of Medicine (NLM) pill image database, this paper investigates descriptors for pill detection and characterization. We describe efforts in investigating algorithms to segment NLM pills images automatically, and extract several features to assembly pill groups with priors based on FDA recommendations for pill physical attributes. Our contributions toward pill recognition automation are three-fold: we evaluate the 1,000 most common medications in the United States, provide …",2015,en,,,,
Coupling visualization and data analysis for knowledge discovery from multi-dimensional scientific data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:isC4tDSrTZIC,"O Rübel, S Ahern, EW Bethel, MD Biggin, H Childs, E Cormier-Michel, ...","Procedia computer science 1 (1), 1757-1764, 2010","Knowledge discovery from large and complex scientific data is a challenging task. With the ability to measure and simulate more processes at increasingly finer spatial and temporal scales, the growing number of data dimensions and data objects presents tremendous challenges for effective data analysis and data exploration methods and tools. The combination and close integration of methods from scientific visualization, information visualization, automated data analysis, and other enabling technologies—such as efficient data management—supports knowledge discovery from multi-dimensional scientific data. This paper surveys two distinct applications in developmental biology and accelerator physics, illustrating the effectiveness of the described approach.",2010,en,,,,
Insight into 3D micro-CT data: exploring segmentation algorithms through performance metrics,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:3fE2CSJIrl8C,"T Perciano, D Ushizima, H Krishnan, D Parkinson, N Larson, DM Pelt, ...","Journal of Synchrotron Radiation 24 (5), 1065-1077, 2017","Three-dimensional (3D) micro-tomography (µ-CT) has proven to be an important imaging modality in industry and scientific domains. Understanding the properties of material structure and behavior has produced many scientific advances. An important component of the 3D µ-CT pipeline is image partitioning (or image segmentation), a step that is used to separate various phases or components in an image. Image partitioning schemes require specific rules for different scientific fields, but a common strategy consists of devising metrics to quantify performance and accuracy. The present article proposes a set of protocols to systematically analyze and compare the results of unsupervised classification methods used for segmentation of synchrotron-based data. The proposed dataflow for Materials Segmentation and Metrics (MSM) provides 3D micro-tomography image segmentation algorithms, such as statistical …",2017,en,,,,
